Starters,Team,Game,Win,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Joel Embiid,PHI,1,W,10,17,0.588,1,1,1,8,9,0.889,2,12,14,2,0,1,3,3,29
Ben Simmons,PHI,1,W,7,12,0.583,0,0,0,2,6,0.333,1,8,9,7,2,3,4,3,16
Seth Curry,PHI,1,W,4,8,0.5,1,5,0.2,4,4,1,0,0,0,4,2,0,1,4,13
Tobias Harris,PHI,1,W,3,13,0.231,0,4,0,4,4,1,4,4,8,0,0,1,2,4,10
Danny Green,PHI,1,W,1,6,0.167,0,4,0,0,0,0,0,0,0,2,2,0,1,2,2
Shake Milton,PHI,1,W,6,11,0.545,2,4,0.5,5,7,0.714,0,1,1,3,3,0,0,3,19
Furkan Korkmaz,PHI,1,W,4,9,0.444,3,6,0.5,0,0,0,0,1,1,0,1,2,2,1,11
Mike Scott,PHI,1,W,1,3,0.333,1,3,0.333,0,0,0,0,2,2,0,1,0,0,1,3
Dwight Howard,PHI,1,W,2,2,1,0,0,0,0,0,0,3,7,10,2,0,1,2,3,4
Tyrese Maxey,PHI,1,W,3,6,0.5,0,1,0,0,0,0,0,2,2,2,0,0,1,0,6
Matisse Thybulle,PHI,1,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Terrance Ferguson,PHI,1,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Bradley,PHI,1,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dakota Mathias,PHI,1,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Joe,PHI,1,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,1,W,41,87,0.471,8,28,0.286,23,30,0.767,10,37,47,22,11,8,16,25,113
Russell Westbrook,WAS,1,L,9,22,0.409,0,2,0,3,5,0.6,2,9,11,15,0,0,6,3,21
Bradley Beal,WAS,1,L,11,22,0.5,3,8,0.375,6,7,0.857,0,2,2,3,4,0,6,3,31
Deni Avdija,WAS,1,L,2,2,1,2,2,1,1,2,0.5,0,4,4,1,1,0,1,3,7
Thomas Bryant,WAS,1,L,5,13,0.385,0,3,0,0,1,0,1,4,5,0,0,1,2,5,10
Isaac Bonga,WAS,1,L,2,3,0.667,1,1,1,0,1,0,1,2,3,2,2,0,1,2,5
Ish Smith,WAS,1,L,2,7,0.286,1,2,0.5,2,2,1,0,4,4,3,0,1,1,1,7
Troy Brown,WAS,1,L,1,3,0.333,1,2,0.5,0,0,0,0,3,3,1,0,0,0,2,3
Davis Bertans,WAS,1,L,4,7,0.571,4,6,0.667,2,2,1,0,3,3,1,0,1,0,0,14
Robin Lopez,WAS,1,L,1,3,0.333,1,1,1,0,0,0,1,2,3,0,0,1,2,4,3
Raul Neto,WAS,1,L,0,1,0,0,0,0,2,3,0.667,0,0,0,1,0,0,0,0,2
Moritz Wagner,WAS,1,L,2,2,1,0,0,0,0,0,0,0,2,2,1,0,0,0,3,4
Anzejs Pasecniks,WAS,1,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome Robinson,WAS,1,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Gill,WAS,1,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,WAS,1,L,39,85,0.459,13,27,0.481,16,23,0.696,5,35,40,28,7,4,19,26,107
Ben Simmons,PHI,2,W,5,9,0.556,0,0,0,5,8,0.625,1,8,9,6,1,2,3,4,15
Joel Embiid,PHI,2,W,10,20,0.5,2,4,0.5,5,7,0.714,4,6,10,2,1,1,1,3,27
Tobias Harris,PHI,2,W,7,14,0.5,2,5,0.4,1,2,0.5,2,3,5,2,0,2,0,2,17
Seth Curry,PHI,2,W,6,8,0.75,3,4,0.75,2,2,1,0,4,4,3,1,0,0,0,17
Danny Green,PHI,2,W,2,6,0.333,2,6,0.333,0,0,0,1,4,5,3,4,0,1,2,6
Shake Milton,PHI,2,W,4,8,0.5,0,2,0,2,2,1,0,1,1,0,0,0,3,3,10
Furkan Korkmaz,PHI,2,W,1,7,0.143,1,5,0.2,0,0,0,0,3,3,1,0,0,3,1,3
Mike Scott,PHI,2,W,1,5,0.2,1,5,0.2,0,0,0,0,2,2,0,0,0,0,0,3
Dwight Howard,PHI,2,W,4,7,0.571,0,0,0,1,1,1,3,3,6,0,1,1,0,4,9
Tyrese Maxey,PHI,2,W,1,4,0.25,0,0,0,0,0,0,1,1,2,3,0,0,1,0,2
Matisse Thybulle,PHI,2,W,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Isaiah Joe,PHI,2,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dakota Mathias,PHI,2,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Ferguson,PHI,2,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Bradley,PHI,2,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,2,W,41,88,0.466,11,31,0.355,16,22,0.727,12,35,47,20,9,6,12,19,109
RJ Barrett,NYK,2,L,2,15,0.133,0,6,0,6,8,0.75,1,5,6,4,0,0,4,0,10
Julius Randle,NYK,2,L,11,15,0.733,2,2,1,1,2,0.5,3,4,7,3,1,0,4,4,25
Reggie Bullock,NYK,2,L,2,7,0.286,1,4,0.25,1,2,0.5,0,3,3,2,0,0,0,4,6
Mitchell Robinson,NYK,2,L,5,8,0.625,0,0,0,1,2,0.5,5,4,9,0,1,2,0,3,11
Elfrid Payton,NYK,2,L,0,6,0,0,3,0,0,0,0,0,3,3,1,0,0,0,1,0
Alec Burks,NYK,2,L,6,13,0.462,4,6,0.667,6,6,1,0,5,5,3,2,1,5,4,22
Kevin Knox,NYK,2,L,3,6,0.5,1,3,0.333,0,0,0,3,1,4,3,0,0,1,2,7
Dennis Smith,NYK,2,L,1,5,0.2,0,2,0,2,2,1,0,2,2,2,1,0,1,4,4
Nerlens Noel,NYK,2,L,2,5,0.4,0,0,0,0,1,0,1,3,4,1,1,1,1,1,4
Theo Pinson,NYK,2,L,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Ntilikina,NYK,2,L,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ignas Brazdeikis,NYK,2,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Harper,NYK,2,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,NYK,2,L,32,83,0.386,8,29,0.276,17,23,0.739,13,30,43,19,6,4,16,23,89
Ben Simmons,PHI,3,L,5,8,0.625,0,0,0,5,7,0.714,0,6,6,4,2,2,6,2,15
Tobias Harris,PHI,3,L,5,10,0.5,4,6,0.667,2,2,1,0,9,9,5,3,0,3,1,16
Seth Curry,PHI,3,L,2,7,0.286,2,5,0.4,2,2,1,0,1,1,4,0,0,2,2,8
Danny Green,PHI,3,L,1,2,0.5,0,1,0,2,2,1,1,2,3,1,0,1,1,1,4
Dwight Howard,PHI,3,L,4,4,1,0,0,0,1,2,0.5,1,2,3,0,0,0,3,4,9
Shake Milton,PHI,3,L,2,6,0.333,1,3,0.333,1,2,0.5,0,1,1,2,0,0,1,2,6
Tyrese Maxey,PHI,3,L,3,8,0.375,0,2,0,0,0,0,0,0,0,1,1,0,1,1,6
Mike Scott,PHI,3,L,4,8,0.5,3,7,0.429,1,2,0.5,2,1,3,0,1,0,3,2,12
Tony Bradley,PHI,3,L,2,7,0.286,0,0,0,0,1,0,4,4,8,1,0,2,0,2,4
Furkan Korkmaz,PHI,3,L,1,8,0.125,0,5,0,2,2,1,0,2,2,2,1,0,1,0,4
Matisse Thybulle,PHI,3,L,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
Dakota Mathias,PHI,3,L,3,6,0.5,2,4,0.5,0,0,0,0,1,1,2,0,0,0,0,8
Isaiah Joe,PHI,3,L,1,2,0.5,0,1,0,0,0,0,0,1,1,1,1,0,0,0,2
Terrance Ferguson,PHI,3,L,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0
Joel Embiid,PHI,3,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,3,L,33,79,0.418,12,37,0.324,16,22,0.727,8,31,39,24,9,5,21,19,94
Larry Nance,CLE,3,W,5,6,0.833,3,4,0.75,0,0,0,1,3,4,5,2,0,4,3,13
Collin Sexton,CLE,3,W,8,15,0.533,1,2,0.5,5,6,0.833,0,3,3,3,1,0,1,1,22
Darius Garland,CLE,3,W,7,15,0.467,0,3,0,0,0,0,0,0,0,7,2,0,2,2,14
Andre Drummond,CLE,3,W,11,18,0.611,0,0,0,2,4,0.5,6,8,14,3,3,2,1,1,24
Kevin Love,CLE,3,W,2,6,0.333,0,1,0,0,0,0,1,2,3,2,1,0,0,0,4
Dante Exum,CLE,3,W,3,5,0.6,0,1,0,0,0,0,1,3,4,6,2,0,1,5,6
Cedi Osman,CLE,3,W,5,8,0.625,2,4,0.5,2,2,1,0,2,2,2,1,1,1,4,14
Damyean Dotson,CLE,3,W,2,5,0.4,1,3,0.333,0,0,0,0,1,1,1,1,0,2,0,5
JaVale McGee,CLE,3,W,2,6,0.333,1,2,0.5,2,2,1,0,6,6,2,0,2,2,2,7
Dean Wade,CLE,3,W,1,4,0.25,1,3,0.333,0,0,0,1,3,4,0,0,1,1,2,3
Marques Bolden,CLE,3,W,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Thon Maker,CLE,3,W,1,1,1,0,0,0,0,0,0,1,1,2,0,0,0,1,2,2
Lamar Stevens,CLE,3,W,0,1,0,0,0,0,2,2,1,0,2,2,0,0,0,0,0,2
Team Totals,CLE,3,W,48,91,0.527,9,23,0.391,13,16,0.813,11,34,45,31,13,6,16,22,118
Joel Embiid,PHI,4,W,7,17,0.412,1,6,0.167,14,16,0.875,4,12,16,4,2,2,5,1,29
Tobias Harris,PHI,4,W,11,20,0.55,2,5,0.4,2,2,1,2,9,11,3,2,2,2,1,26
Ben Simmons,PHI,4,W,3,11,0.273,0,0,0,5,8,0.625,0,13,13,7,1,1,3,1,11
Seth Curry,PHI,4,W,5,11,0.455,3,6,0.5,4,4,1,1,5,6,4,1,1,3,4,17
Danny Green,PHI,4,W,3,7,0.429,1,4,0.25,0,0,0,1,1,2,0,2,2,2,1,7
Shake Milton,PHI,4,W,2,10,0.2,1,6,0.167,2,2,1,0,1,1,2,2,0,0,3,7
Matisse Thybulle,PHI,4,W,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Scott,PHI,4,W,1,3,0.333,0,2,0,1,1,1,1,1,2,0,0,1,0,2,3
Dwight Howard,PHI,4,W,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,3,2,0
Tyrese Maxey,PHI,4,W,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
Dakota Mathias,PHI,4,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Ferguson,PHI,4,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
